Time [s],Channel 0,Channel 1,Channel 2
2.784419625,0,1,0
2.784421062,1,1,0
2.784422437,0,1,0
2.784423875,1,1,0
2.784425250,0,1,0
2.784426687,1,1,0
2.784428062,0,1,0
2.784428125,0,0,0
2.784450688,1,0,0
2.784452063,0,0,0
2.784452375,0,1,0
2.784452687,0,0,0
2.784453500,1,0,0
2.784455187,1,1,0
2.886464688,1,0,0
2.886465938,0,0,0
2.886467375,1,0,0
2.886468750,0,0,0
2.886469562,0,1,0
2.886470188,1,1,0
2.886471563,0,1,0
2.886472937,1,1,0
2.886474312,0,1,0
2.886475750,1,1,0
2.886477125,0,1,0
2.886478562,1,1,0
2.886479937,0,1,0
2.886480563,0,0,0
2.886481375,1,0,0
2.886482750,0,0,0
2.886484187,1,0,0
2.886485562,0,0,0
2.886487000,1,0,0
2.886488313,0,1,0
2.886488375,0,0,0
2.886489750,1,0,0
2.886491125,0,0,0
2.886491438,0,1,0
2.886491750,0,0,0
2.886492562,1,0,0
2.886493938,0,0,0
2.886495375,1,0,0
2.886496750,0,0,0
2.886498187,1,0,0
2.886499563,0,0,0
2.886500938,1,0,0
2.886502312,0,1,0
2.886502375,0,0,0
2.886503750,1,0,0
2.886505125,0,0,0
2.886506563,1,0,0
2.886507937,0,0,0
2.886509375,1,0,0
2.886510750,0,0,0
2.886512188,1,0,0
2.886513562,0,0,0
2.886514937,1,0,0
2.886516312,0,1,0
2.886516375,0,0,0
2.886516625,0,1,0
2.886517750,1,1,0
2.886519125,0,1,0
2.886519750,0,0,0
2.886520562,1,0,0
2.886521937,0,0,0
2.886522750,0,1,0
2.886523375,1,1,0
2.886524750,0,1,0
2.886525375,0,0,0
2.886526187,1,0,0
2.886527562,0,0,0
2.886529000,1,0,0
2.886530313,0,0,0
2.886531750,1,0,0
2.886533125,0,0,0
2.886534563,1,0,0
2.886535938,0,0,0
2.886537375,1,0,0
2.886538750,0,0,0
2.886561375,1,0,0
2.886562750,0,0,0
2.886563063,0,1,0
2.886563375,0,0,0
2.886564187,1,0,0
2.886565875,1,1,0
2.886637687,1,0,0
2.886638937,0,0,0
2.886640375,1,0,0
2.886641750,0,0,0
2.886642563,0,1,0
2.886643187,1,1,0
2.886644562,0,1,0
2.886646000,1,1,0
2.886647375,0,1,0
2.886648750,1,1,0
2.886650125,0,1,0
2.886651562,1,1,0
2.886652938,0,1,0
2.886653562,0,0,0
2.886654375,1,0,0
2.886655750,0,0,0
2.886657187,1,0,0
2.886658563,0,0,0
2.886660000,1,0,0
2.886661375,0,0,0
2.886662750,1,0,0
2.886664125,0,0,0
2.886664437,0,1,0
2.886664750,0,0,0
2.886665563,1,0,0
2.886666937,0,0,0
2.886668375,1,0,0
2.886669750,0,0,0
2.886671188,1,0,0
2.886672562,0,0,0
2.886674000,1,0,0
2.886675375,0,0,0
2.886676750,1,0,0
2.886678125,0,0,0
2.886679562,1,0,0
2.886680937,0,0,0
2.886682375,1,0,0
2.886683750,0,0,0
2.886685187,1,0,0
2.886686562,0,0,0
2.886688000,1,0,0
2.886689375,0,0,0
2.886689625,0,1,0
2.886690750,1,1,0
2.886692125,0,1,0
2.886693563,1,1,0
2.886694938,0,1,0
2.886695562,0,0,0
2.886696375,1,0,0
2.886697750,0,0,0
2.886699188,1,0,0
2.886700563,0,0,0
2.886702000,1,0,0
2.886703375,0,0,0
2.886704813,1,0,0
2.886706188,0,0,0
2.886707562,1,0,0
2.886708937,0,0,0
2.886710375,1,0,0
2.886711750,0,0,0
2.886734437,1,0,0
2.886735812,0,0,0
2.886736062,0,1,0
2.886736438,0,0,0
2.886737188,1,0,0
2.886738938,1,1,0
3.895671563,1,0,0
3.895672812,0,0,0
3.895674250,1,0,0
3.895675625,0,0,0
3.895676438,0,1,0
3.895677062,1,1,0
3.895678437,0,1,0
3.895679875,1,1,0
3.895681250,0,1,0
3.895682625,1,1,0
3.895684000,0,1,0
3.895685438,1,1,0
3.895686813,0,1,0
3.895687437,0,0,0
3.895688250,1,0,0
3.895689625,0,0,0
3.895691063,1,0,0
3.895692438,0,0,0
3.895693875,1,0,0
3.895695250,0,0,0
3.895696625,1,0,0
3.895698000,0,0,0
3.895698312,0,1,0
3.895698625,0,0,0
3.895699437,1,0,0
3.895700812,0,0,0
3.895702250,1,0,0
3.895703625,0,0,0
3.895705062,1,0,0
3.895706437,0,0,0
3.895707875,1,0,0
3.895709250,0,0,0
3.895710625,1,0,0
3.895712000,0,0,0
3.895713437,1,0,0
3.895714813,0,0,0
3.895716250,1,0,0
3.895717625,0,0,0
3.895719062,1,0,0
3.895720438,0,0,0
3.895721875,1,0,0
3.895723250,0,0,0
3.895723500,0,1,0
3.895724625,1,1,0
3.895726000,0,1,0
3.895726625,0,0,0
3.895727438,1,0,0
3.895728812,0,0,0
3.895729625,0,1,0
3.895730250,1,1,0
3.895731688,0,1,0
3.895732312,0,0,0
3.895733063,1,0,0
3.895734437,0,0,0
3.895735250,0,1,0
3.895735875,1,1,0
3.895737250,0,1,0
3.895738688,1,1,0
3.895740062,0,1,0
3.895741500,1,1,0
3.895742875,0,1,0
3.895743500,0,0,0
3.895744250,1,0,0
3.895745625,0,0,0
3.895768312,1,0,0
3.895769688,0,0,0
3.895769937,0,1,0
3.895770312,0,0,0
3.895771125,1,0,0
3.895772813,1,1,0
3.895868750,1,0,0
3.895870000,0,0,0
3.895871437,1,0,0
3.895872812,0,0,0
3.895873625,0,1,0
3.895874188,1,1,0
3.895875625,0,1,0
3.895877000,1,1,0
3.895878375,0,1,0
3.895879813,1,1,0
3.895881188,0,1,0
3.895882625,1,1,0
3.895884000,0,1,0
3.895884625,0,0,0
3.895885438,1,0,0
3.895886812,0,0,0
3.895888250,1,0,0
3.895889562,0,0,0
3.895891000,1,0,0
3.895892375,0,0,0
3.895893813,1,0,0
3.895895187,0,0,0
3.895895500,0,1,0
3.895895813,0,0,0
3.895896625,1,0,0
3.895898000,0,0,0
3.895899437,1,0,0
3.895900812,0,0,0
3.895902250,1,0,0
3.895903563,0,0,0
3.895905000,1,0,0
3.895906375,0,0,0
3.895907812,1,0,0
3.895909188,0,0,0
3.895910625,1,0,0
3.895912000,0,0,0
3.895913437,1,0,0
3.895914813,0,0,0
3.895916250,1,0,0
3.895917563,0,0,0
3.895919000,1,0,0
3.895920375,0,0,0
3.895920687,0,1,0
3.895921000,0,0,0
3.895921813,1,0,0
3.895923188,0,0,0
3.895924625,1,0,0
3.895926000,0,0,0
3.895926812,0,1,0
3.895927438,1,1,0
3.895928812,0,1,0
3.895929437,0,0,0
3.895930250,1,0,0
3.895931562,0,0,0
3.895933000,1,0,0
3.895934375,0,0,0
3.895935812,1,0,0
3.895937187,0,0,0
3.895938625,1,0,0
3.895940000,0,0,0
3.895941437,1,0,0
3.895942812,0,0,0
3.895944250,1,0,0
3.895945625,0,0,0
3.895945938,0,1,0
3.895946250,0,0,0
3.895947062,1,0,0
3.895948437,0,0,0
3.895949875,1,0,0
3.895951250,0,0,0
3.895952687,1,0,0
3.895954000,0,1,0
3.895954062,0,0,0
3.895955438,1,0,0
3.895956813,0,1,0
3.895956875,0,0,0
3.895958250,1,0,0
3.895959625,0,0,0
3.895961063,1,0,0
3.895962438,0,0,0
3.895963875,1,0,0
3.895965250,0,0,0
3.895966688,1,0,0
3.895968063,0,0,0
3.895990687,1,0,0
3.895992062,0,0,0
3.895992375,0,1,0
3.895992688,0,0,0
3.895993500,1,0,0
3.895995188,1,1,0
3.896055375,1,0,0
3.896056625,0,0,0
3.896058062,1,0,0
3.896059437,0,0,0
3.896060250,0,1,0
3.896060875,1,1,0
3.896062250,0,1,0
3.896063687,1,1,0
3.896065062,0,1,0
3.896066500,1,1,0
3.896067875,0,1,0
3.896069250,1,1,0
3.896070625,0,1,0
3.896071250,0,0,0
3.896072063,1,0,0
3.896073438,0,0,0
3.896074875,1,0,0
3.896076250,0,0,0
3.896077688,1,0,0
3.896079063,0,0,0
3.896080500,1,0,0
3.896081875,0,0,0
3.896082125,0,1,0
3.896082500,0,0,0
3.896083250,1,0,0
3.896084625,0,0,0
3.896086062,1,0,0
3.896087437,0,0,0
3.896088875,1,0,0
3.896090250,0,0,0
3.896091687,1,0,0
3.896093062,0,0,0
3.896094500,1,0,0
3.896095875,0,0,0
3.896097250,1,0,0
3.896098625,0,0,0
3.896100062,1,0,0
3.896101438,0,0,0
3.896102875,1,0,0
3.896104250,0,0,0
3.896105687,1,0,0
3.896107063,0,0,0
3.896107312,0,1,0
3.896108500,1,1,0
3.896109875,0,1,0
3.896110500,0,0,0
3.896111250,1,0,0
3.896112688,0,0,0
3.896114125,1,0,0
3.896115500,0,0,0
3.896116937,1,0,0
3.896118313,0,0,0
3.896119062,0,1,0
3.896119688,1,1,0
3.896121062,0,1,0
3.896122500,1,1,0
3.896123875,0,1,0
3.896124500,0,0,0
3.896125313,1,0,0
3.896126687,0,0,0
3.896127500,0,1,0
3.896128125,1,1,0
3.896129437,0,1,0
3.896129563,0,0,0
3.896130875,1,0,0
3.896132250,0,0,0
3.896132563,0,1,0
3.896132875,0,0,0
3.896133687,1,0,0
3.896135062,0,0,0
3.896136500,1,0,0
3.896137875,0,0,0
3.896139312,1,0,0
3.896140687,0,0,0
3.896141437,0,1,0
3.896142063,1,1,0
3.896143438,0,1,0
3.896144062,0,0,0
3.896144875,1,0,0
3.896146250,0,0,0
3.896147062,0,1,0
3.896147688,1,1,0
3.896149063,0,1,0
3.896149687,0,0,0
3.896150500,1,0,0
3.896151875,0,0,0
3.896153313,1,0,0
3.896154688,0,0,0
3.896177312,1,0,0
3.896178687,0,0,0
3.896179000,0,1,0
3.896179313,0,0,0
3.896180125,1,0,0
3.896181875,1,1,0
3.896245687,1,0,0
3.896246937,0,0,0
3.896248375,1,0,0
3.896249750,0,0,0
3.896250563,0,1,0
3.896251125,1,1,0
3.896252562,0,1,0
3.896253938,1,1,0
3.896255313,0,1,0
3.896256750,1,1,0
3.896258125,0,1,0
3.896259563,1,1,0
3.896260938,0,1,0
3.896261562,0,0,0
3.896262375,1,0,0
3.896263750,0,0,0
3.896265188,1,0,0
3.896266563,0,0,0
3.896268000,1,0,0
3.896269312,0,0,0
3.896270813,1,0,0
3.896272125,0,0,0
3.896272437,0,1,0
3.896272750,0,0,0
3.896273562,1,0,0
3.896274937,0,0,0
3.896276375,1,0,0
3.896277750,0,0,0
3.896279187,1,0,0
3.896280562,0,0,0
3.896282000,1,0,0
3.896283313,0,0,0
3.896284750,1,0,0
3.896286125,0,0,0
3.896287562,1,0,0
3.896288938,0,0,0
3.896290375,1,0,0
3.896291750,0,0,0
3.896293187,1,0,0
3.896294563,0,0,0
3.896296000,1,0,0
3.896297313,0,0,0
3.896297625,0,1,0
3.896298750,1,1,0
3.896300125,0,1,0
3.896300750,0,0,0
3.896301563,1,0,0
3.896302937,0,0,0
3.896303750,0,1,0
3.896304375,1,1,0
3.896305750,0,1,0
3.896306375,0,0,0
3.896307188,1,0,0
3.896308500,0,0,0
3.896309937,1,0,0
3.896311312,0,0,0
3.896312750,1,0,0
3.896314125,0,0,0
3.896315562,1,0,0
3.896316937,0,0,0
3.896318375,1,0,0
3.896319750,0,0,0
3.896342375,1,0,0
3.896343750,0,0,0
3.896344062,0,1,0
3.896344375,0,0,0
3.896345188,1,0,0
3.896346875,1,1,0
3.896409000,1,0,0
3.896410313,0,0,0
3.896411750,1,0,0
3.896413063,0,0,0
3.896413938,0,1,0
3.896414500,1,1,0
3.896415875,0,1,0
3.896417313,1,1,0
3.896418688,0,1,0
3.896420125,1,1,0
3.896421500,0,1,0
3.896422875,1,1,0
3.896424250,0,1,0
3.896424875,0,0,0
3.896425687,1,0,0
3.896427062,0,0,0
3.896428500,1,0,0
3.896429875,0,0,0
3.896431312,1,0,0
3.896432687,0,0,0
3.896434125,1,0,0
3.896435500,0,0,0
3.896435750,0,1,0
3.896436125,0,0,0
3.896436875,1,0,0
3.896438250,0,0,0
3.896439750,1,0,0
3.896441063,0,0,0
3.896442500,1,0,0
3.896443875,0,0,0
3.896445313,1,0,0
3.896446688,0,0,0
3.896448125,1,0,0
3.896449500,0,0,0
3.896450875,1,0,0
3.896452250,0,0,0
3.896453688,1,0,0
3.896455062,0,0,0
3.896456500,1,0,0
3.896457875,0,0,0
3.896459313,1,0,0
3.896460687,0,0,0
3.896460938,0,1,0
3.896462125,1,1,0
3.896463500,0,1,0
3.896464875,1,1,0
3.896466250,0,1,0
3.896466875,0,0,0
3.896467687,1,0,0
3.896469063,0,0,0
3.896470500,1,0,0
3.896471875,0,0,0
3.896473312,1,0,0
3.896474688,0,0,0
3.896476125,1,0,0
3.896477500,0,0,0
3.896478875,1,0,0
3.896480250,0,0,0
3.896481688,1,0,0
3.896483063,0,0,0
3.896505750,1,0,0
3.896507125,0,0,0
3.896507375,0,1,0
3.896507750,0,0,0
3.896508500,1,0,0
3.896510250,1,1,0
3.896590750,1,0,0
3.896592062,0,0,0
3.896593437,1,0,0
3.896594813,0,0,0
3.896595625,0,1,0
3.896596250,1,1,0
3.896597625,0,1,0
3.896599062,1,1,0
3.896600438,0,1,0
3.896601875,1,1,0
3.896603250,0,1,0
3.896604687,1,1,0
3.896606063,0,1,0
